Claim Number,City Code,City,Enterprise Type,Claim Type,Claim Site,Product Insured
1XYNOGN1BO,STV,Surat,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
OE5WXN1Z5S,BOM,Mumbai,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
VENN09DZSZ,NGP,Nagpur,Public Limited Company,Property Loss,In Transit,Misc. Lab Equipment
LEM2NCK09W,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Misc. Electronic Items
YQPEWRYPR3,IDR,Indore,Non-Profit Organization (NPO),Property Damage,In Transit,Furniture
YJTBXWZX8P,BOM,Mumbai,Sole Proprietorship,Property Loss,Warehouse,Misc. Electrical Equipment
52NO27EQY9,THN,Thane,One Person Company,Property Damage,In Transit,Misc. Electronic Items
QR2P9QUHXF,BLR,Bangalore,Joint-Venture Company,Property Damage,Warehouse,Misc. Sensors
22DLH0KH3R,DEL,Delhi,Sole Proprietorship,Property Loss,In Transit,Inventory - Finished Goods
GWL05D4BX0,PAT,Patna,Sole Proprietorship,Property Damage,Warehouse,Misc. Electronic Items
OQT6RUUTTO,KNU,Kanpur,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
5JNOHM5AID,NSK,Nashik,Sole Proprietorship,Property Loss,In Transit,Inventory - Finished Goods
7WPCANN6MU,VSK,Visakhapatnam,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
3HOBJJM45B,VSK,Visakhapatnam,Joint-Venture Company,Property Loss,In Transit,Inventory - Finished Goods
X1FQY6E93B,HYD,Hyderabad,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
O9H38VPOPF,CJB,Coimbatore,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
CMCFDKCYUT,BLR,Bangalore,Sole Proprietorship,Property Damage,In Transit,Inventory - Finished Goods
V2NI05UVK4,THN,Thane,Non-Profit Organization (NPO),Property Loss,In Transit,Fixtures
3HS1P5TMUT,BLR,Bangalore,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
HFSLYNHIM2,BHO,Bhopal,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
XZD2JZ6QCC,PNQ,Pune,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
BP8J3T5DRR,PAT,Patna,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
H5NHT5T3SW,BLR,Bangalore,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
XSPM0I6F0T,MAA,Chennai,Sole Proprietorship,Property Damage,Warehouse,Furniture
TP91L2D4EE,PNQ,Pune,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
FF98914X5Q,DEL,Delhi,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
I4VJQQJRHE,PNQ,Pune,Private Ltd. MSME - Micro,Property Loss,In Transit,Inventory - Raw Material
TCIZQHH8XZ,BDQ,Vadodara,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Finished Goods
X4RXM46TGI,AGR,Agra,One Person Company,Property Loss,In Transit,Pumps and Motors
PZ88H4P101,IDR,Indore,Foreign Subsidary,Property Damage,Warehouse,Inventory - Raw Material
O73NTI7S80,BOM,Mumbai,One Person Company,Property Loss,In Transit,Furniture
LOFMRSXATV,PNQ,Pune,Public Limited Company,Property Loss,In Transit,Inventory - Finished Goods
ZYTMUSLVNB,CJB,Coimbatore,Private Limited Company,Property Loss,In Transit,Pumps and Motors
NBLFBNNYFR,HYD,Hyderabad,Private Limited Company,Property Loss,Warehouse,Misc. Engineering Tools
4WNZFV387R,KNU,Kanpur,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
ILHIAUZTBX,BLR,Bangalore,Public Limited Company,Property Damage,Warehouse,Furniture
A6IL9C56YE,VSK,Visakhapatnam,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
X8751GQTME,STV,Surat,Private Limited Company,Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
YXGXS3RYNJ,JAI,Jaipur,Private Limited Company,Property Damage,In Transit,Misc. Engineering Tools
KO0B33H61E,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Misc. Lab Equipment
W9X90UTF5M,STV,Surat,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
6GRD5TPC02,NSK,Nashik,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
LBNR7Y886G,IDR,Indore,Cooperative Society,Property Loss,In Transit,Inventory - Raw Material
E5HZ0PBL65,MAA,Chennai,Sole Proprietorship,Property Damage,In Transit,Inventory - Finished Goods
B2PI6TUJN6,DEL,Delhi,One Person Company,Property Damage,In Transit,Misc. Electronic Items
MBU76SWEZ9,THN,Thane,One Person Company,Property Damage,In Transit,Furniture
B8041FTQOB,STV,Surat,Private Limited Company,Property Loss,Warehouse,Furniture
J6B46WO5C3,IDR,Indore,Limited Liability Parterneship (LLP),Property Damage,In Transit,Misc. Electronic Items
LBBV7U65GJ,LKO,Lucknow,Non-Profit Organization (NPO),Property Damage,Warehouse,Furniture
9QQZ97SJ1F,NGP,Nagpur,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Engineering Tools
HFGICAM381,BLR,Bangalore,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
QVVFIYBH9U,PNQ,Pune,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
WAQR19VGP1,NGP,Nagpur,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
HU8AT9PYJ4,ATQ,Amritsar,One Person Company,Property Loss,In Transit,Pumps and Motors
MJHMWAYHMU,KNU,Kanpur,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
LKAA4TGUBS,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
2K4QFMFCQQ,AMD,Ahmedabad,One Person Company,Property Damage,Warehouse,Inventory - Raw Material
7YBTI6LFXU,LKO,Lucknow,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
XWEBDOG64S,NSK,Nashik,Joint-Venture Company,Property Loss,In Transit,Furniture
KME72NR9EB,VSK,Visakhapatnam,Private Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
ED1NT1I5RT,BDQ,Vadodara,Private Limited Company,Property Damage,In Transit,Inventory - Finished Goods
D2GL2O4177,BLR,Bangalore,Private Limited Company,Property Damage,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
RTFKYB3DKJ,BHO,Bhopal,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
Q0XIPJR5QP,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Electrical Equipment
7YQXD27W9C,STV,Surat,Public Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
PEQT8R0LGU,THN,Thane,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
7GVZFA6DZK,VSK,Visakhapatnam,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Finished Goods
IEI9CWVC8X,KNU,Kanpur,Limited Liability Parterneship (LLP),Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
WHISVWT57Q,BLR,Bangalore,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
4A014U6GVU,JAI,Jaipur,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
XUOFIHGQM4,LKO,Lucknow,Private Ltd. MSME - Small,Property Damage,In Transit,Misc. Electronic Items
XNSYNUMK4C,CCU,Kolkata,Private Limited Company,Property Loss,Warehouse,Misc. Lab Equipment
PIBAXKU61K,ATQ,Amritsar,Partnership Firm,Property Loss,In Transit,Inventory - Raw Material
E9TLKNJEJN,BOM,Mumbai,One Person Company,Property Damage,In Transit,Misc. Electronic Items
RS4NOBXVI6,LKO,Lucknow,Joint-Venture Company,Property Loss,In Transit,Misc. Engineering Tools
OVNAN03E61,BDQ,Vadodara,Sole Proprietorship,Property Loss,In Transit,Misc. Electrical Equipment
I64QISN8AJ,HYD,Hyderabad,Sole Proprietorship,Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
GBQ3F68GYG,THN,Thane,Non-Profit Organization (NPO),Property Damage,Warehouse,Misc. Engineering Tools
S15CVIOXOX,PNQ,Pune,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
84YP6XTTNZ,MAA,Chennai,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
S10CRDLJNI,NGP,Nagpur,Sole Proprietorship,Property Loss,In Transit,Pumps and Motors
LW4426YLU7,MAA,Chennai,Private Limited Company,Property Loss,In Transit,Furniture
Q06GLIY9M5,IDR,Indore,Foreign Subsidary,Property Loss,In Transit,Misc. Engineering Tools
08UY6Y9SXM,BHO,Bhopal,Joint-Venture Company,Property Loss,In Transit,Inventory - Raw Material
MQYEJZFGPO,VSK,Visakhapatnam,Limited Liability Parterneship (LLP),Property Loss,In Transit,Misc. Lab Equipment
X98ETX8L85,THN,Thane,One Person Company,Property Loss,In Transit,Misc. Electrical Equipment
TT7SGVMZ19,LKO,Lucknow,Partnership Firm,Property Damage,In Transit,Inventory - Raw Material
FT52N22VQS,DEL,Delhi,One Person Company,Property Loss,In Transit,Inventory - Raw Material
0OID6DJIAY,PNQ,Pune,Partnership Firm,Property Damage,In Transit,Inventory - Raw Material
4Z8TYXIP5N,BOM,Mumbai,Private Ltd. MSME - Micro,Property Loss,In Transit,Inventory - Raw Material
CZYUTR8G2Z,AMD,Ahmedabad,Foreign Subsidary,Property Loss,In Transit,Inventory - Finished Goods
HNP1SGAT9E,VSK,Visakhapatnam,Foreign Subsidary,Property Loss,Warehouse,Misc. Sensors
APHIHS3YAI,CJB,Coimbatore,Joint-Venture Company,Property Loss,In Transit,Misc. Engineering Tools
MQBGLB5XP2,AGR,Agra,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
J9VB52TABR,BOM,Mumbai,One Person Company,Property Damage,In Transit,Fixtures
8XLN3JS9TQ,PNQ,Pune,Sole Proprietorship,Property Damage,Other,Misc. Electronic Items
3XV0SOD3H9,BOM,Mumbai,Private Limited Company,Property Loss,In Transit,Inventory - Finished Goods
WZ5T2ABG8M,STV,Surat,Non-Profit Organization (NPO),Property Loss,Warehouse,Inventory - Raw Material
P8TT8HN9F5,THN,Thane,One Person Company,Property Loss,In Transit,Inventory - Raw Material
HI9UKKR5PI,LKO,Lucknow,Non-Profit Organization (NPO),Property Damage,In Transit,Inventory - Raw Material
HGAMSJQ4OA,IDR,Indore,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
ILK7O7RQGB,STV,Surat,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Engineering Tools
AI52XMPZBR,AGR,Agra,Partnership Firm,Property Damage,Warehouse,Pumps and Motors
3ZYUQK26TE,HYD,Hyderabad,Private Limited Company,Property Damage,Warehouse,Furniture
GIZIFOMXAZ,NGP,Nagpur,Private Limited Company,Property Loss,In Transit,Inventory - Finished Goods
Y69LIUUV5F,DEL,Delhi,One Person Company,Property Loss,In Transit,Inventory - Raw Material
8KOSEXB202,AMD,Ahmedabad,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
LIB8ACKF72,VSK,Visakhapatnam,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
8RSA524LMW,HYD,Hyderabad,Foreign Subsidary,Property Damage,In Transit,Inventory - Finished Goods
DJDGGYN2YD,DEL,Delhi,One Person Company,Property Damage,In Transit,Misc. Electronic Items
RDM3O5N7OL,BOM,Mumbai,Private Ltd. MSME - Micro,Property Loss,In Transit,Misc. Sensors
ADWD8C4H7M,BHO,Bhopal,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
DSAO586ERT,BDQ,Vadodara,Private Limited Company,Property Loss,In Transit,Inventory - Finished Goods
C0D3RJ9DR8,PNQ,Pune,Private Ltd. MSME - Medium,Property Loss,In Transit,Furniture
F49FK7H4TH,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
RJWZ2Q1D8S,LKO,Lucknow,Private Ltd. MSME - Medium,Property Loss,Warehouse,Pumps and Motors
2O8RR9LRD4,ATQ,Amritsar,Sole Proprietorship,Property Loss,In Transit,Misc. Electrical Equipment
0SNJYFL8QS,BHO,Bhopal,Joint-Venture Company,Property Loss,In Transit,Misc. Engineering Tools
RBC4INNMCX,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Misc. Engineering Tools
9B7B382687,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Loss,In Transit,Misc. Electronic Items
L8FFSZQ90U,AGR,Agra,Private Limited Company,Property Loss,In Transit,Furniture
C7EFLJCRJX,PNQ,Pune,Limited Liability Parterneship (LLP),Property Loss,In Transit,Inventory - Raw Material
G74RGEWWTU,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Inventory - Raw Material
37XPFDVJ1J,STV,Surat,Non-Profit Organization (NPO),Property Damage,In Transit,Inventory - Raw Material
WCY5PX5YXM,BOM,Mumbai,Sole Proprietorship,Property Loss,In Transit,"Property, Plant, and Equipment (PPE) Parts"
SJA7OICYFA,AMD,Ahmedabad,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
SLGCMAJUQB,THN,Thane,One Person Company,Property Damage,In Transit,Misc. Electronic Items
UCZ0ZJI6LK,NGP,Nagpur,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
1MMDR2WSGZ,VSK,Visakhapatnam,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
3P5DVWSRJH,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Misc. Engineering Tools
HXEHB2MDR3,BLR,Bangalore,One Person Company,Property Damage,In Transit,Misc. Electronic Items
RVDKJ4G24G,MAA,Chennai,Sole Proprietorship,Property Damage,Warehouse,Pumps and Motors
2PK3CJ9OYD,ATQ,Amritsar,Partnership Firm,Property Loss,In Transit,Misc. Electronic Items
09TSYJEY0M,BOM,Mumbai,One Person Company,Property Loss,Warehouse,Furniture
ODLADLTFJV,LKO,Lucknow,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
4SZ83MQWUK,STV,Surat,Joint-Venture Company,Property Loss,In Transit,Inventory - Raw Material
0IEVWN3B9K,MAA,Chennai,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
W0T2F6JBXG,STV,Surat,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
Z3D6OWTZA9,DEL,Delhi,Sole Proprietorship,Property Loss,In Transit,Pumps and Motors
CT2GG3S96A,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Misc. Engineering Tools
RM5E13TSPN,NSK,Nashik,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
PO61MFI3P7,BOM,Mumbai,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
OWWS4WGUCA,VSK,Visakhapatnam,Non-Profit Organization (NPO),Property Damage,Warehouse,Misc. Engineering Tools
TOF4VPUFL1,IDR,Indore,Cooperative Society,Property Loss,In Transit,Misc. Lab Equipment
P0Z36D9S1J,PAT,Patna,One Person Company,Property Damage,In Transit,Misc. Electronic Items
1YHFJSJQV0,HYD,Hyderabad,One Person Company,Property Loss,In Transit,Furniture
BWWZC50EVU,BOM,Mumbai,Private Ltd. MSME - Micro,Property Loss,In Transit,Misc. Electrical Equipment
IYQHNSEKP0,BDQ,Vadodara,Non-Profit Organization (NPO),Property Loss,Warehouse,Inventory - Raw Material
38W32XREG9,PNQ,Pune,Private Ltd. MSME - Micro,Property Loss,In Transit,Inventory - Raw Material
8KWCLZQHXH,DEL,Delhi,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
BCKPQSDEFI,NSK,Nashik,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
K86IHDBRQX,KNU,Kanpur,Sole Proprietorship,Property Damage,In Transit,Misc. Engineering Tools
O1RY4FFKZ3,NGP,Nagpur,Non-Profit Organization (NPO),Property Damage,Warehouse,Inventory - Raw Material
VZ41DX9PYJ,KNU,Kanpur,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
ORGCR9PQET,DEL,Delhi,One Person Company,Property Damage,In Transit,Misc. Electronic Items
PBY9YEXRXP,KNU,Kanpur,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
C5477HM37F,DEL,Delhi,One Person Company,Property Damage,In Transit,Misc. Electronic Items
Q26DJ5KQBN,BOM,Mumbai,Private Ltd. MSME - Micro,Property Damage,In Transit,Inventory - Finished Goods
Z46TC7S9VS,NGP,Nagpur,Private Limited Company,Property Loss,In Transit,Furniture
OWV1HU7NTS,VSK,Visakhapatnam,Partnership Firm,Property Damage,In Transit,Inventory - Raw Material
JZ2E0VMZR5,NSK,Nashik,Public Limited Company,Property Loss,In Transit,Misc. Engineering Tools
W5FDGTC0JG,STV,Surat,Private Limited Company,Property Loss,In Transit,Inventory - Finished Goods
VB9HD7H0YZ,NSK,Nashik,Public Limited Company,Property Loss,In Transit,Misc. Engineering Tools
AQYQUE2N3G,KNU,Kanpur,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
P907SR1Y46,KNU,Kanpur,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
7LD9XQDK8R,THN,Thane,One Person Company,Property Loss,In Transit,Inventory - Raw Material
GURIYGPKF4,JAI,Jaipur,Private Limited Company,Property Loss,In Transit,Inventory - Finished Goods
Q019SR3HIO,VSK,Visakhapatnam,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Finished Goods
MXEQ8QW783,LKO,Lucknow,Partnership Firm,Property Damage,In Transit,Inventory - Raw Material
RQFL6C3AFE,HYD,Hyderabad,Foreign Subsidary,Property Loss,In Transit,Inventory - Finished Goods
DSJ2KMIQ2U,LKO,Lucknow,Partnership Firm,Property Loss,In Transit,Fixtures
MEQXRJ25T5,PAT,Patna,One Person Company,Property Loss,In Transit,Fixtures
5QLA620FU2,DEL,Delhi,One Person Company,Property Loss,In Transit,Furniture
5ICIMX9C7O,NSK,Nashik,Public Limited Company,Property Damage,In Transit,Misc. Electrical Equipment
93Y8N6YQKT,NSK,Nashik,Non-Profit Organization (NPO),Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
YEMQA0LM4N,BOM,Mumbai,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
9FZYZYMA1H,JAI,Jaipur,Cooperative Society,Property Loss,In Transit,Pumps and Motors
DZOSJNDZE5,PAT,Patna,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Finished Goods
N0CIAR4RTK,HYD,Hyderabad,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
W6W0T3IWQP,MAA,Chennai,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
NMMZMDXUEZ,HYD,Hyderabad,Foreign Subsidary,Property Loss,In Transit,Inventory - Raw Material
R05MYPL3EE,AMD,Ahmedabad,Partnership Firm,Property Loss,In Transit,Inventory - Finished Goods
1PWKRYJWO8,MAA,Chennai,Sole Proprietorship,Property Loss,In Transit,Inventory - Finished Goods
FJ4WWSOUON,BOM,Mumbai,One Person Company,Property Loss,In Transit,Inventory - Raw Material
DI8DOSR1SB,DEL,Delhi,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
9JSMS1UUBY,BHO,Bhopal,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
YKXRTFOG68,VSK,Visakhapatnam,One Person Company,Property Damage,In Transit,Misc. Electronic Items
2LRC05TSFQ,NGP,Nagpur,Private Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
JZ6KN6NUBS,BOM,Mumbai,Private Limited Company,Property Loss,Warehouse,Furniture
HNDYNRM7JL,THN,Thane,Private Ltd. MSME - Small,Property Loss,In Transit,Inventory - Raw Material
LG4MJX3P0Q,DEL,Delhi,Sole Proprietorship,Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
DPQLKX3EVG,HYD,Hyderabad,Private Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
SVTR8TB26Q,PNQ,Pune,Cooperative Society,Property Damage,In Transit,Inventory - Raw Material
D5KYJQJUJ7,BLR,Bangalore,Public Limited Company,Property Loss,Warehouse,Misc. Lab Equipment
HK9G8ASK9M,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
Z1O3YE0LI1,BOM,Mumbai,Sole Proprietorship,Property Loss,Warehouse,Fixtures
NGZC9BJ6SL,PNQ,Pune,One Person Company,Property Loss,In Transit,Inventory - Raw Material
M5AIX6SQP1,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Misc. Engineering Tools
4UNKBYBWWV,CJB,Coimbatore,Joint-Venture Company,Property Loss,Warehouse,Furniture
9SSLFW6YDS,STV,Surat,Partnership Firm,Property Damage,In Transit,Inventory - Raw Material
5BURB76MN7,BHO,Bhopal,Joint-Venture Company,Property Loss,In Transit,Cameras and other Misc. Security Equipment
ORKGOJJ7CR,IDR,Indore,Cooperative Society,Property Damage,Warehouse,Inventory - Raw Material
